PId,IsBumpVirtual,SpeedCondition,TouchId,TouchOffset
1,0.0,10.0,57.958333333333336,20.403874995853418
1,0.0,20.0,179.6851851851852,19.714348156854935
1,0.0,30.0,293.6296296296296,23.08908358670401
1,0.0,40.0,419.6326530612245,23.909180522448274
1,0.0,50.0,539.0483870967741,20.082356729459686
1,1.0,10.0,59.32857142857143,18.753053679153698
1,1.0,20.0,176.359375,27.50536252750356
1,1.0,30.0,304.2972972972973,21.168152307188798
1,1.0,40.0,414.05797101449275,20.80144597513874
1,1.0,50.0,528.8333333333334,23.151417456175345
3,0.0,10.0,1008.7692307692307,57.54739634227678
3,0.0,20.0,1126.4583333333333,55.561881814366956
3,0.0,30.0,654.3488372093024,43.44993306619567
3,0.0,40.0,775.18,46.08654869284295
3,0.0,50.0,891.95,52.710799269860296
3,1.0,10.0,1009.8888888888889,64.52550835893312
3,1.0,20.0,1130.2045454545455,65.13198979951399
3,1.0,30.0,654.4666666666667,64.11481681174364
3,1.0,40.0,767.3384615384615,49.77635123784513
3,1.0,50.0,886.25,56.995611962205594
5,0.0,10.0,1365.0416666666667,51.71942822563988
5,0.0,20.0,1484.55223880597,45.787943520695364
5,0.0,30.0,1603.5483870967741,52.130637247518194
5,0.0,40.0,1726.709090909091,53.363983603079504
5,0.0,50.0,1246.1518987341772,53.91929282787507
5,1.0,10.0,1366.0285714285715,58.494559396601915
5,1.0,20.0,1486.4313725490197,61.663203044798664
5,1.0,30.0,1605.28,75.9340098776955
5,1.0,40.0,1720.6612903225807,60.197012999786054
5,1.0,50.0,1247.3589743589744,68.20141662384873
6,0.0,10.0,1839.34,44.747569166105166
6,0.0,20.0,1960.8474576271187,29.587207214689453
6,0.0,30.0,2078.0864197530864,31.58818305797203
6,0.0,40.0,2202.723404255319,26.204853085267253
6,0.0,50.0,2320.5,23.74701022811532
6,1.0,10.0,1843.927536231884,50.3733795673458
6,1.0,20.0,1961.15,46.28774490207254
6,1.0,30.0,2083.0,48.63128749149079
6,1.0,40.0,2196.268656716418,36.23485196667604
6,1.0,50.0,2315.0923076923077,38.70089826486231
7,0.0,10.0,2911.3125,60.764988750634096
7,0.0,20.0,2438.328125,65.273823674074
7,0.0,30.0,2555.4044943820227,61.07164717101337
7,0.0,40.0,2675.2978723404253,53.447460199739616
7,0.0,50.0,2795.455882352941,52.31068424393536
7,1.0,10.0,2914.378787878788,73.70640494023186
7,1.0,20.0,2438.1458333333335,82.49690987689787
7,1.0,30.0,2555.896551724138,80.31677729726397
7,1.0,40.0,2673.4242424242425,66.30069295853563
7,1.0,50.0,2791.3617021276596,72.22453961695682
8,0.0,10.0,3387.9583333333335,31.28914462641372
8,0.0,20.0,3507.8076923076924,26.84250261403224
8,0.0,30.0,3029.7179487179487,35.472709249756335
8,0.0,40.0,3154.2340425531916,30.501613869865007
8,0.0,50.0,3274.75,31.40633199789258
8,1.0,10.0,3389.0285714285715,44.68693442448101
8,1.0,20.0,3508.171875,36.322665354040076
8,1.0,30.0,3036.325,49.30292798803157
8,1.0,40.0,3148.9718309859154,41.39449955988442
8,1.0,50.0,3265.3333333333335,55.05841768157757
9,0.0,10.0,3863.9583333333335,45.09979279646456
9,0.0,20.0,3982.25,50.016551860451095
9,0.0,30.0,4103.864864864865,39.315089470701295
9,0.0,40.0,3627.5416666666665,60.504922974235974
9,0.0,50.0,3744.846153846154,42.62858618564674
9,1.0,10.0,3865.4411764705883,49.092140392365735
9,1.0,20.0,3983.0508474576272,62.28749684064941
9,1.0,30.0,4100.829268292683,53.65143241956871
9,1.0,40.0,3630.590163934426,71.64102070773428
9,1.0,50.0,3748.5283018867926,54.26682391610545
10,0.0,10.0,4219.958333333333,25.29306024127439
10,0.0,20.0,4340.021739130435,24.20795594207343
10,0.0,30.0,4574.479166666667,14.57878986343095
10,0.0,40.0,4704.945945945946,17.484576226791106
10,0.0,50.0,4458.725,17.727536032979895
10,1.0,10.0,4221.80303030303,35.914882738616576
10,1.0,20.0,4332.688888888889,59.13353200460484
10,1.0,30.0,4580.985507246377,16.858781397176116
10,1.0,40.0,4701.95,16.11205664936386
10,1.0,50.0,4460.0,20.789377541037705
11,0.0,10.0,5050.688888888889,58.83783382245835
11,0.0,20.0,4815.34,62.128785927455446
11,0.0,30.0,4931.038461538462,53.76601972647859
11,0.0,40.0,5173.878048780488,61.088975271140896
11,0.0,50.0,5289.368421052632,62.89737057668359
11,1.0,10.0,5054.985294117647,65.936704950734
11,1.0,20.0,4817.530303030303,73.57615407374796
11,1.0,30.0,4936.035087719299,71.01478282816342
11,1.0,40.0,5172.283333333334,75.86297465896955
11,1.0,50.0,5292.309090909091,68.38467967031325
12,0.0,10.0,5645.958333333333,38.299743624991464
12,0.0,20.0,5885.131147540984,34.54069868057565
12,0.0,30.0,5409.681818181818,33.107840123251286
12,0.0,40.0,5531.0,33.834542597370856
12,0.0,50.0,5766.917808219178,32.39985037033736
12,1.0,10.0,5647.704225352113,45.539284970982095
12,1.0,20.0,5885.315789473684,47.41608291650939
12,1.0,30.0,5407.064516129032,53.20586764731777
12,1.0,40.0,5526.217391304348,39.69648445334726
12,1.0,50.0,5763.266666666666,62.0612106788905
13,0.0,10.0,6360.918367346939,36.622114820806345
13,0.0,20.0,6480.4655172413795,37.211415594393685
13,0.0,30.0,6243.957142857143,33.43755819241436
13,0.0,40.0,6005.84,39.072364475566935
13,0.0,50.0,6125.35593220339,27.57716995363116
13,1.0,10.0,6361.898550724638,37.61193918796179
13,1.0,20.0,6479.116666666667,51.58107693328366
13,1.0,30.0,6238.979166666667,32.27113160257693
13,1.0,40.0,5997.9473684210525,33.79579066882146
13,1.0,50.0,6119.396551724138,30.66382094858381
14,0.0,10.0,6716.139534883721,31.711786374825394
14,0.0,20.0,6953.785714285715,42.41710371396313
14,0.0,30.0,7074.294117647059,35.96836737091584
14,0.0,40.0,6837.395348837209,41.05290286986969
14,0.0,50.0,6597.71186440678,36.49220461917775
14,1.0,10.0,6718.626865671642,54.249171234594115
14,1.0,20.0,6954.079365079365,56.795896352745835
14,1.0,30.0,7073.409090909091,50.42089758402444
14,1.0,40.0,6833.3442622950815,46.27388898559164
14,1.0,50.0,6599.517857142857,53.5098597185821
15,0.0,10.0,7650.857142857143,25.406961178392624
15,0.0,20.0,7534.366666666667,24.43482724243826
15,0.0,30.0,7308.303571428572,18.785870446022447
15,0.0,40.0,7196.268292682927,20.417434163060214
15,0.0,50.0,7427.4,19.435702702510703
15,1.0,10.0,7655.34375,43.46331282597202
15,1.0,20.0,7541.16,48.43564695608682
15,1.0,30.0,7315.172413793103,31.832593770156947
15,1.0,40.0,7189.824561403509,20.937650281763837
15,1.0,50.0,7424.660714285715,32.535425656635425
16,0.0,10.0,8011.260869565217,39.12876181253785
16,0.0,20.0,8248.117647058823,40.69650348226048
16,0.0,30.0,8127.986842105263,37.582408658374824
16,0.0,40.0,7895.0,41.098778750439045
16,0.0,50.0,7772.726027397261,33.959802392817075
16,1.0,10.0,8012.557142857143,41.46956310606898
16,1.0,20.0,8247.79365079365,39.58603319767597
16,1.0,30.0,8132.658536585366,37.86583545002002
16,1.0,40.0,7891.6875,38.206315895954745
16,1.0,50.0,7776.921052631579,47.26820900102774
17,0.0,10.0,8366.134615384615,56.12322145974054
17,0.0,20.0,8601.884057971014,69.91992547280984
17,0.0,30.0,8837.193181818182,65.51889376877355
17,0.0,40.0,8718.068181818182,71.77148179158637
17,0.0,50.0,8486.68115942029,60.77185196242758
17,1.0,10.0,8370.234375,67.13488866041622
17,1.0,20.0,8607.333333333334,70.94879272194643
17,1.0,30.0,8850.84,87.57007548129229
17,1.0,40.0,8721.568965517241,64.37450600978842
17,1.0,50.0,8488.377777777778,69.9011703204007
18,0.0,10.0,9079.106382978724,66.45317142481098
18,0.0,20.0,8962.616666666667,53.45831763505655
18,0.0,30.0,9189.661538461538,75.5399856273761
18,0.0,40.0,9440.139534883721,56.17350529051004
18,0.0,50.0,9315.38596491228,72.56092806274519
18,1.0,10.0,9077.597014925374,70.16568825609367
18,1.0,20.0,8957.655172413793,64.97748817308984
18,1.0,30.0,9203.09677419355,89.13708299262873
18,1.0,40.0,9427.148148148148,57.30735380245942
18,1.0,50.0,9317.283018867925,80.58318085034253
